Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
360;0;-60.0081;3.77723;-81.8554;9.76931;3905.53;5.97706;0;0;0.1;0.01;0;3.28873;0;0;-1-1;-1
360;1;-36.1418;-42.1299;-99.7633;8.23052;2335.45;4.96837;0;0;0.1;0.01;0;1.37769;1;0;-1-1;-1
360;2;-36.6172;-18.2433;-89.5073;9.82924;3977.85;6.02283;0;0;0.1;0.01;0;4.85703;0;0;-1-1;-1
360;3;-36.2311;0.459283;-89.1431;10.0716;4279.45;6.14528;0;0;0.1;0.01;0;4.42395;0;0;-1-1;-1
360;4;-31.5936;14.8984;-94.8935;8.60928;2672.94;5.26076;0;0;0.1;0.01;0;2.79003;0;0;-1-1;-1
360;5;-22.339;-44.1727;-91.1823;10.1734;4410.54;6.1864;0;0;0.1;0.01;0;4.81689;0;0;-1-1;-1
360;6;-21.7162;-26.2203;-90.4288;10.0322;4229.42;6.11287;0;0;0.1;0.01;0;5.83868;0;0;-1-1;-1
360;7;-21.9427;-9.01564;-90.5836;10.0265;4222.16;6.10865;0;0;0.1;0.01;0;5.15636;0;0;-1-1;-1
360;8;-17.422;12.0764;-87.8337;10.0825;4293.34;6.14218;0;0;0.1;0.01;0;5.53063;0;0;-1-1;-1
360;9;-16.1677;17.7819;-78.5725;1.96327;31.6978;1.89142;0;0;6.95418e-17;0.01;0;6.9013;100;0;-1-1;-1
360;10;-18.5643;-60.1719;-83.3955;9.66625;3783.23;5.92852;0;0;0.1;0.01;0;3.75191;0;0;-1-1;-1
360;11;-6.61415;-34.2277;-92.8092;10.1978;4442.28;6.18068;0;0;0.1;0.01;0;3.94736;0;0;-1-1;-1
360;12;-6.28722;-16.8231;-91.5298;10.0706;4278.09;6.14198;0;0;0.1;0.01;0;4.89869;0;0;-1-1;-1
360;13;-4.67125;5.46339;-79.4951;9.02424;3078.37;5.54074;0;0;0.1;0.01;0;6.90913;0;0;-1-1;-1
360;14;-6.78702;21.4372;-80.5298;9.41076;3491.1;5.7726;0;0;0.1;0.01;0;7.15809;0;0;-1-1;-1
360;15;-2.99227;43.8819;-94.8119;8.17604;2289.38;4.94597;0;0;0.1;0.01;0;2.72502;1;0;-1-1;-1
360;16;12.6032;-44.5319;-94.8575;8.81603;2870.17;5.42757;0;0;0.1;0.01;0;2.64816;0;0;-1-1;-1
