simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.0896982	18999	274.461
40	1228	91	0	101.299	3.71547e-06	2.21416
80	1244	16	0	95.9731	7.02113e-16	0.00906797
120	1261	17	0	96.5303	1.25621e-25	3.71369e-05
160	1293	32	0	96.8262	2.0967e-35	1.52088e-07
200	1331	38	0	96.5269	3.25814e-45	6.22839e-10
240	1378	47	0	97.3495	4.63706e-55	2.55064e-12
280	1429	51	0	97.8563	6.03703e-65	1.04452e-14
320	1489	60	0	98.351	7.18487e-75	4.27736e-17
360	1559	70	0	98.3636	7.76546e-85	1.75157e-19
400	1647	89	1	98.953	7.58505e-95	7.17251e-22
440	1738	94	3	100.349	6.67453e-105	2.93702e-24
480	1846	109	1	102.33	5.22386e-115	1.20263e-26
520	1992	149	3	100.983	3.59344e-125	4.92438e-29
560	2115	129	6	103.098	2.12346e-135	2.01632e-31
600	2186	79	8	103.409	1.0879e-145	8.25573e-34
640	2292	108	2	104.439	4.79711e-156	3.38017e-36
680	2391	102	3	106.766	1.77894e-166	1.38391e-38
720	2421	37	7	106.421	5.62293e-177	5.66583e-41
760	2460	41	2	105.401	1.50218e-187	2.31955e-43
800	2503	47	4	106.791	3.34308e-198	9.49567e-46
840	2582	82	3	105.788	6.23816e-209	3.88716e-48
880	2662	83	3	107.312	9.86157e-220	1.5912e-50
920	2766	107	3	108.327	1.31848e-230	6.51329e-53
960	2867	107	6	111.817	1.47996e-241	34.4255
1000	2987	124	4	109.177	1.39801e-252	0.140906
1040	3161	183	9	109.712	1.10021e-263	0.000576716
1080	3347	189	3	112.103	7.06623e-275	2.36037e-06
1120	3539	202	10	113.613	3.71315e-286	9.66012e-09
1160	3814	281	6	114.679	1.54809e-297	3.95338e-11
1200	4034	230	10	116.21	0	1.61784e-13
1240	4205	177	6	116.923	0	6.62032e-16
1280	4383	186	8	120.151	0	2.70894e-18
1320	4562	190	11	119.472	0	1.10839e-20
1360	4635	76	3	122.565	0	4.53479e-23
1400	4704	79	10	122.257	0	1.8552e-25
